Alphacoronavirus,Alphapapillomavirus,Alphavirus,Aphthovirus,Asfivirus,Atadenovirus,Betacoronavirus,Betaretrovirus,Capripoxvirus,Cardiovirus,Circovirus,Coltivirus,Cytomegalovirus,Deltacoronavirus,Deltapapillomavirus,Deltaretrovirus,Ebolavirus,Enterovirus,Ephemerovirus,Epsilonpapillomavirus,Erbovirus,Flavivirus,Gammacoronavirus,Gammaretrovirus,Henipavirus,Hepacivirus,Hepatovirus,Ictalurivirus,Iotapapillomavirus,Kappapapillomavirus,Lagovirus,Lambdapapillomavirus,Lentivirus,Leporipoxvirus,Lymphocryptovirus,Lyssavirus,Mamastrovirus,Marburgvirus,Mastadenovirus,Metapneumovirus,Morbillivirus,Muromegalovirus,Norovirus,Nucleorhabdovirus,Omikronpapillomavirus,Orbivirus,Orthobunyavirus,Orthohepadnavirus,Orthopoxvirus,Orthoreovirus,Parapoxvirus,Parechovirus,Pestivirus,Phlebovirus,Picobirnavirus,Pipapillomavirus,Respirovirus,Rhadinovirus,Rotavirus,Sapovirus,Seadornavirus,Simplexvirus,Suipoxvirus,Teschovirus,Thogotovirus,Torovirus,Varicellovirus,Vesiculovirus,Vesivirus,Xipapillomavirus,Yatapoxvirus,Zetapapillomavirus,host
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Artibeus_cinereus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Artibeus_fimbriatus
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Artibeus_jamaicensis
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Artibeus_lituratus
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Artibeus_obscurus
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Artibeus_phaeotis
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Artibeus_toltecus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arvicanthis_niloticus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arvicola_amphibius
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arvicola_scherman
